omega_pe_t,relative_error_R3,relative_error_R5,relative_error_R7,relative_error_R9
5.920471281749434489e+00,1.799736567562725749e-05,6.190981939329849458e-11,7.853728231787357900e-12,4.963223789966869171e-11
5.970223141259934252e+00,1.824981631760704136e-05,6.218519426247638814e-11,7.881599481022630510e-12,5.124470218949679905e-11
6.019975000770434015e+00,1.852029622302410223e-05,6.247705824762152631e-11,7.910760359396890817e-12,5.294044241558897183e-11
6.069726860280933778e+00,1.880970018794456670e-05,6.279235562421417431e-11,7.942056788685122778e-12,5.471138125625335475e-11
6.119478719791432653e+00,1.911876588433464677e-05,6.313877423227557733e-11,7.976371272066787860e-12,5.654813278959331432e-11
6.169230579301931527e+00,1.944804104422526015e-05,6.352449704991265540e-11,8.014867096111052455e-12,5.844061325658027749e-11
6.218982438812431290e+00,1.979785235336607331e-05,6.395849222386538215e-11,8.058141566484656972e-12,6.037802610290579212e-11
6.268734298322931053e+00,2.016827798444493228e-05,6.444944343037239473e-11,8.107674677226236457e-12,6.234934714303817923e-11
6.318486157833430816e+00,2.055912563868333987e-05,6.500589652592392755e-11,8.164760268967731861e-12,6.434341260181666297e-11
6.368238017343929691e+00,2.096991772469544379e-05,6.563555113835353408e-11,8.230207013578103729e-12,6.634847661203827135e-11
6.417989876854429454e+00,2.139988488042756452e-05,6.634576761360994690e-11,8.305274183033669994e-12,6.835367550826089186e-11
6.467741736364928329e+00,2.184796849491266459e-05,6.714244857152860985e-11,8.390777451329721168e-12,7.034846975982948263e-11
6.517493595875428980e+00,2.231283226210638521e-05,6.802979573249146536e-11,8.487518433858415380e-12,7.232223633485608935e-11
6.567245455385927855e+00,2.279288216579492636e-05,6.901027414096103002e-11,8.595873866807994206e-12,7.426584477553230573e-11
6.616997314896426730e+00,2.328629374493518906e-05,7.008441270387491121e-11,8.715974255509409912e-12,7.617001705841454862e-11
6.666749174406926493e+00,2.379104506151099341e-05,7.125141605788707130e-11,8.848273787655997444e-12,7.802797168431318182e-11
6.716501033917425367e+00,2.430495354611231240e-05,7.250726291838743361e-11,8.992490281913743523e-12,7.983268829937230059e-11
6.766252893427926018e+00,2.482571483722621338e-05,7.384672829790708819e-11,9.147801237035694560e-12,8.157823434820927143e-11
6.816004752938424893e+00,2.535094184333175918e-05,7.526276510902556517e-11,9.313601919558176375e-12,8.326007992548370552e-11
6.865756612448924656e+00,2.587820250791034838e-05,7.674723354407155207e-11,9.489115741690656748e-12,8.487436082125255469e-11
6.915508471959423531e+00,2.640505511044255845e-05,7.829003179990994798e-11,9.672918325102674791e-12,8.641780789374333681e-11
6.965260331469923294e+00,2.692908032649582366e-05,7.988086632625349668e-11,9.863683586558099254e-12,8.788813192481830435e-11
7.015012190980423057e+00,2.744790964871318277e-05,8.150854829470158860e-11,1.006025990038237083e-11,8.928376973748037020e-11
7.064764050490921932e+00,2.795925011538784083e-05,8.316174241451460081e-11,1.026114391086526763e-11,9.060371862018200211e-11
7.114515910001421695e+00,2.846090555805085305e-05,8.482928817111251575e-11,1.046512387006845173e-11,9.184751471255264812e-11
7.164267769511920569e+00,2.895079476310300135e-05,8.649917960523360077e-11,1.067025047420476638e-11,9.301462654433000717e-11
7.214019629022420332e+00,2.942696704962393110e-05,8.816079086579915464e-11,1.087526742798833183e-11,9.410514975592617252e-11
7.263771488532920095e+00,2.988761577478031448e-05,8.980380930389665522e-11,1.107908143745552016e-11,9.511986475950483321e-11
7.313523348043419858e+00,3.033109024660742299e-05,9.141842550958771324e-11,1.128013222397985042e-11,9.605902138426477542e-11
7.363275207553918733e+00,3.075590643011346216e-05,9.299599728266318780e-11,1.147731584598680264e-11,9.692315924185535304e-11
7.413027067064418496e+00,3.116075670792387372e-05,9.452782964709396074e-11,1.166949967477619405e-11,9.771332168675652100e-11
7.462778926574917371e+00,3.154451882709459655e-05,9.600690280570882132e-11,1.185574582989337660e-11,9.843064363452211102e-11
7.512530786085418022e+00,3.190626402025851203e-05,9.742655658052804163e-11,1.203496991415539875e-11,9.907596801228216596e-11
7.562282645595916897e+00,3.224526417082966166e-05,9.878186118598873212e-11,1.220673170895531843e-11,9.965089450687329803e-11
7.612034505106415772e+00,3.256099778518012870e-05,1.000682266452852051e-10,1.237033695803104551e-11,1.001569630135691397e-10
7.661786364616915534e+00,3.285315445998608701e-05,1.012824703766101783e-10,1.252547070213028446e-11,1.005959161162767285e-10
7.711538224127414409e+00,3.312163749485600014e-05,1.024220392440542125e-10,1.267139244753311234e-11,1.009698316133658374e-10
7.761290083637915060e+00,3.336656428728938600e-05,1.034855361610317131e-10,1.280811295417191786e-11,1.012806652286208314e-10
